姓名,科目1,科目2,科目3,科目4,科目5,科目6,科目7
黃嘉琪,57,99,86,60,98,97,60
賴心怡,83,51,45,51,44,82,60
陳怡珊,89,55,56,43,41,78,63
戴萱能,58,57,47,75,44,90,42
陳俊憲,72,64,43,78,87,65,93
黃旻林,66,47,79,53,41,60,88
朱彥志,77,40,55,99,88,59,55
陳淑娟,45,91,84,100,44,92,48
蔡士賢,52,53,99,51,45,98,57
陳冠竹,80,96,54,95,85,50,90
陳信宏,86,94,89,90,45,43,90
游淑惠,87,49,45,53,68,86,41
林詠斌,49,42,86,49,51,95,94
林向鈺,85,87,75,68,40,95,83
蕭怡伶,44,70,58,44,68,56,96
黃偉剛,47,78,98,53,54,82,84
周琬婷,43,71,55,74,100,78,88
方雅慧,57,67,100,61,100,95,75
余宗儒,67,58,43,88,63,64,65
王怡君,81,95,70,53,61,91,87
簡國瑋,90,46,51,86,97,84,92
謝水儒,99,93,51,90,57,85,94
蔡偉成,87,47,64,97,48,77,57
劉林中,71,54,77,57,56,51,92
張嘉韋,100,87,48,54,92,60,61
李湘婷,53,87,50,61,78,40,96
王梅劭,81,80,65,51,40,73,65
游倫城,65,64,53,77,65,64,76
唐雪豪,83,45,41,74,70,63,97
王展人,50,88,76,100,48,97,98
游一鈺,89,64,72,40,83,64,80
彭虹屏,77,64,49,55,54,78,62
陳彥治,58,58,90,92,87,53,80
黃翔杰,98,84,68,68,42,53,53
王孝純,61,99,65,66,69,51,63
朱惠儀,44,60,42,87,46,76,90
朱惠儀,81,42,42,84,50,67,94
陳怡珊,68,61,74,55,74,73,67
李彥伸,98,54,83,42,86,41,61
林思賢,67,56,85,45,57,72,94
余宗儒,81,51,51,52,61,67,58
吳孟穎,50,100,45,60,86,43,52
趙家豪,43,92,51,55,60,68,95
賴佳雯,97,99,92,41,41,64,69
張雅芬,75,74,86,43,40,77,88
蔡明平,42,81,67,85,57,73,95
王柏聖,46,43,40,93,41,52,72
胡姿婷,78,54,86,75,67,90,83
謝哲維,62,62,68,69,60,59,63
黃江旭,58,69,40,76,42,72,90
